Name,LakeID,XMin,XMax,YMin,YMax,time_2018,expectedValue,beamID,time_2020,expectedValue,beamID2,KeepData,,TrackNumber1,TrackNumber2,TrackNumber3,beamID3,TrackNumber4,beamID4
cachuma,-119.8_34.6,-119.986,-119.891,34.548,34.605,2019-03-12T00:00:00Z,188,gtl1,2021-10-13T00:00:00Z ,182,gtl1,TRUE,,,,,,,
newSpicerMeadow,-119.9_38.4,-120.0048,-119.9395,38.3867,38.4198,2018-12-16T00:00:00Z,1972,gtl1,2021-12-10T00:00:00Z,1966,gtl3,TRUE,,,,,,,
kaweah,-118.9_36.4,-119.0066,-118.9443,36.3874,36.4272,2019-03-13T00:00:00Z,164,gtl2,2022-03-07T00:00:00Z,160,gtl1,TRUE,,,,,,,
losVaqueros,-121.7_37.8,-121.7649,-121.7137,37.7983,37.8409,2018-11-25T00:00:00Z,120,gtl1,2020-11-21T00:00:00Z,118,gtl2,TRUE,,,,,,,
saltSprings,-120.1_38.5,-120.2207,-120.1429,38.4883,38.507,2018-11-17T00:00:00Z,1135,gtl3,2022-02-10T00:00:00Z,1142,gtl3,FALSE,,,,,,,
frenchMeadows,-120.4_39.1,-120.4756,-120.4138,39.1001,39.1304,2019-11-14T00:00:00Z,1562,gtl3,2021-05-12T00:00:00Z,1563,gtl3,FALSE,,,,,,,
shaver,-119.2_37.1,-119.3138,-119.2573,37.1041,37.1557,2020-02-11T00:00:00Z,1601,gtl1,2022-02-06T00:00:00Z,1594,gtl2,TRUE,,,,,,,
perris,-117.1_33.8,-117.2017,-117.1477,33.8337,33.8767,2019-01-26T00:00:00Z,450,gtl1,2021-05-31T00:00:00Z,450,gtl3,FALSE,,,,,,,
thomasAEdison,-118.9_37.4,-119.0149,-118.9342,37.3635,37.4104,2019-12-05T00:00:00Z,2291,gtl3,2021-12-01T00:00:00Z,2285,gtl1,TRUE,,,,,,,
courtright,-118.9_37.1,-118.9982,-118.9615,37.0763,37.131,2018-12-07T00:00:00Z,2448,gtl3,2021-09-01T00:00:00Z,2452,gtl3,FALSE,,,,,,,
mammothPool,-199.2_37.3,-119.3404,-199.2767,37.3202,37.3958,2020-02-11T00:00:00Z,953,gtl1,2022-02-06T00:00:00Z,980,gtl3,FALSE,,,,,,,
wishon,-118.9_37,-118.9749,-118.9462,36.9952,37.0404,2019-06-07T00:00:00Z,1948,gtl2,2021-09-01T00:00:00Z,1943,gtl2,TRUE,,,,,,,
campFarWest,-121.2_39,-121.3246,-121.2473,39.021,39.027,2019-01-22T00:00:00Z,60,gtl3,2020-11-15T00:00:00Z,32,gtl3,TRUE,,,,,,,
bucks,-121.1_39.9,-121.2059,-121.1495,39.8661,39.9172,2018-11-20T00:00:00Z,1543,gtl2,2020-11-17T00:00:00Z,1543,gtl3,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
calaveras,-121.7_37.4,-121.8334,-121.7911,37.455,37.4975,202-10-14T00:00:00Z,,,2021-01-16T00:00:00Z,,gtl2,FALSE,,,,,,,
sanLuis,0_0,,,,,2018-12-28T00:00:00Z,,,2020-12-24T00:00:00Z,,,FALSE,,,,,,,
pradoFloodControl,0_0,,,,,2018-12-28T00:00:00Z,,,2020-12-24T00:00:00Z,,,FALSE,,,,,,,
indianValley,-122.5_39.1,-122.5629,-122.5126,39.0728,39.1708,2020-12-22T00:00:00Z,400,gtl1,2022-03-21T00:00:00Z,407,gtl1,FALSE,,,,,,,
hellHole,-120.3_39,-120.4181,-120.3699,39.0506,39.0914,2019-11-14T00:00:00Z,1355,gtl2,2021-05-14T00:00:00Z,1361,gtl2,FALSE,,,,,,,
blackButte,-122.3_41.2,-122.3599,-122.3194,41.2713,41.2922,2020-12-22T00:00:00Z,,gtl3,2021-12-01T00:00:00Z,,,FALSE,,,,,,,
mendocino,-123.1_39.2,-123.1872,-123.1612,39.1917,39.2377,2018-10-14T00:00:00Z,,,2021-12-01T00:00:00Z,,,FALSE,,,,,,,
